id,Symbol,Name,Target Development Level
17481,EDNRB,Endothelin receptor type B,Tclin
17483,GUCY1A2,Guanylate cyclase soluble subunit alpha-2,Tclin
17572,HDAC8,Histone deacetylase 8,Tclin
17597,KCNH8,Potassium voltage-gated channel subfamily H member 8,Tclin
17638,GSK3B,Glycogen synthase kinase-3 beta,Tclin
17645,KCNK3,Potassium channel subfamily K member 3,Tclin
17768,HCK,Tyrosine-protein kinase HCK,Tclin
17769,KIT,Mast/stem cell growth factor receptor Kit,Tclin
17820,ABAT,"4-aminobutyrate aminotransferase, mitochondrial",Tclin
17968,GSR,"Glutathione reductase, mitochondrial",Tclin
18029,IMPDH2,Inosine-5'-monophosphate dehydrogenase 2,Tclin
18037,IMPA1,Inositol monophosphatase 1,Tclin
18061,INSR,Insulin receptor,Tclin
18165,GABBR1,Gamma-aminobutyric acid type B receptor subunit 1,Tclin
18190,IDH1,Isocitrate dehydrogenase [NADP] cytoplasmic,Tclin
18191,IDH2,"Isocitrate dehydrogenase [NADP], mitochondrial",Tclin
18664,OXTR,Oxytocin receptor,Tclin
18822,NTRK2,BDNF/NT-3 growth factors receptor,Tclin
18844,PPARA,Peroxisome proliferator-activated receptor alpha,Tclin
19023,PPARG,Peroxisome proliferator-activated receptor gamma,Tclin
19285,KCNMA1,Calcium-activated potassium channel subunit alpha-1,Tclin
19323,IL6ST,Interleukin-6 receptor subunit beta,Tclin
19399,IL1RAP,Interleukin-1 receptor accessory protein,Tclin
19406,IL6,Interleukin-6,Tclin
19941,NDUFS1,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",Tclin
20263,NDUFA12,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12,Tclin
20283,NDUFB4,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,Tclin
